調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈
2015100000,2015年度,8224,茨城県 守谷市,,64753,
2015100000,2015年度,8225,茨城県 常陸大宮市,,42587,
2015100000,2015年度,8226,茨城県 那珂市,,54276,
2015100000,2015年度,8227,茨城県 筑西市,,104573,
2015100000,2015年度,8228,茨城県 坂東市,,54087,
2015100000,2015年度,8229,茨城県 稲敷市,,42810,
2015100000,2015年度,8230,茨城県 かすみがうら市,,42147,
2015100000,2015年度,8231,茨城県 桜川市,,42632,
2015100000,2015年度,8232,茨城県 神栖市,,94522,
2015100000,2015年度,8233,茨城県 行方市,,34909,
2015100000,2015年度,8234,茨城県 鉾田市,,48147,
2015100000,2015年度,8235,茨城県 つくばみらい市,,49136,
2015100000,2015年度,8236,茨城県 小美玉市,,50911,
2015100000,2015年度,8302,茨城県 茨城町,,32921,
2015100000,2015年度,8309,茨城県 大洗町,,16886,
2015100000,2015年度,8310,茨城県 城里町,,19800,
2015100000,2015年度,8341,茨城県 東海村,,37713,
2015100000,2015年度,8364,茨城県 大子町,,18053,
2015100000,2015年度,8442,茨城県 美浦村,,15842,
2015100000,2015年度,8443,茨城県 阿見町,,47535,
2015100000,2015年度,8447,茨城県 河内町,,9168,
2015100000,2015年度,8521,茨城県 八千代町,,22021,
2015100000,2015年度,8542,茨城県 五霞町,,8786,
2015100000,2015年度,8546,茨城県 境町,,24517,
2015100000,2015年度,8564,茨城県 利根町,,16313,
2015100000,2015年度,9201,栃木県 宇都宮市,,518594,
2015100000,2015年度,9202,栃木県 足利市,,149452,
2015100000,2015年度,9203,栃木県 栃木市,,159211,
2015100000,2015年度,9204,栃木県 佐野市,,118919,
2015100000,2015年度,9205,栃木県 鹿沼市,,98374,
2015100000,2015年度,9206,栃木県 日光市,,83386,
2015100000,2015年度,9208,栃木県 小山市,,166760,
2015100000,2015年度,9209,栃木県 真岡市,,79539,
2015100000,2015年度,9210,栃木県 大田原市,,75457,
2015100000,2015年度,9211,栃木県 矢板市,,33354,
2015100000,2015年度,9213,栃木県 那須塩原市,,117146,
2015100000,2015年度,9214,栃木県 さくら市,,44901,
2015100000,2015年度,9215,栃木県 那須烏山市,,27047,
2015100000,2015年度,9216,栃木県 下野市,,59431,
2015100000,2015年度,9301,栃木県 上三川町,,31046,
2015100000,2015年度,9342,栃木県 益子町,,23281,
2015100000,2015年度,9343,栃木県 茂木町,,13188,
2015100000,2015年度,9344,栃木県 市貝町,,11720,
2015100000,2015年度,9345,栃木県 芳賀町,,15189,
2015100000,2015年度,9361,栃木県 壬生町,,39951,
2015100000,2015年度,9364,栃木県 野木町,,25292,
2015100000,2015年度,9384,栃木県 塩谷町,,11495,
2015100000,2015年度,9386,栃木県 高根沢町,,29639,
2015100000,2015年度,9407,栃木県 那須町,,24919,
2015100000,2015年度,9411,栃木県 那珂川町,,16964,
2015100000,2015年度,10201,群馬県 前橋市,,336154,
2015100000,2015年度,10202,群馬県 高崎市,,370884,
2015100000,2015年度,10203,群馬県 桐生市,,114714,
2015100000,2015年度,10204,群馬県 伊勢崎市,,208814,
2015100000,2015年度,10205,群馬県 太田市,,219807,
2015100000,2015年度,10206,群馬県 沼田市,,48676,
2015100000,2015年度,10207,群馬県 館林市,,76667,
2015100000,2015年度,10208,群馬県 渋川市,,78391,
2015100000,2015年度,10209,群馬県 藤岡市,,65708,
2015100000,2015年度,10210,群馬県 富岡市,,49746,
2015100000,2015年度,10211,群馬県 安中市,,58531,
